time	V(vout)
0.000000000000000e+00	1.360200e-10
1.953125022824409e-10	1.360200e-10
3.906250045648818e-10	1.360200e-10
7.812500091297636e-10	1.360200e-10
1.562500018259527e-09	1.360200e-10
3.125000036519054e-09	1.360200e-10
6.250000073038109e-09	1.360200e-10
1.250000014607622e-08	1.360200e-10
2.500000029215244e-08	1.360200e-10
5.000000058430487e-08	1.360200e-10
1.000000011686097e-07	1.360200e-10
2.000000023372195e-07	1.360200e-10
4.000000046744390e-07	1.360200e-10
8.000000093488779e-07	1.360200e-10
1.600000018697756e-06	1.360200e-10
3.200000037395512e-06	1.360200e-10
6.400000074791024e-06	1.360200e-10
1.280000014958205e-05	1.360200e-10
2.560000029916409e-05	1.360200e-10
4.513125029916410e-05	1.360200e-10
6.466250029916410e-05	1.360200e-10
8.419375029916411e-05	1.360200e-10
1.037250002991641e-04	1.360200e-10
1.232562502991641e-04	1.360200e-10
1.427875002991641e-04	1.360200e-10
1.623187502991641e-04	1.360200e-10
1.818500002991641e-04	1.360200e-10
2.013812502991641e-04	1.360200e-10
2.209125002991641e-04	1.360200e-10
2.404437502991640e-04	1.360200e-10
2.599750002991640e-04	1.360200e-10
2.795062502991640e-04	1.360200e-10
2.990375002991641e-04	1.360200e-10
3.185687502991641e-04	1.360200e-10
3.381000002991641e-04	1.360200e-10
3.576312502991641e-04	1.360200e-10
3.771625002991641e-04	1.360200e-10
3.966937502991642e-04	1.360200e-10
4.162250002991642e-04	1.360200e-10
4.357562502991642e-04	1.360200e-10
4.552875002991642e-04	1.360200e-10
4.748187502991642e-04	1.360200e-10
4.943500002991642e-04	1.360200e-10
5.138812502991642e-04	1.360200e-10
5.334125002991642e-04	1.360200e-10
5.529437502991642e-04	1.360200e-10
5.724750002991643e-04	1.360200e-10
5.920062502991643e-04	1.360200e-10
6.115375002991643e-04	1.360200e-10
6.310687502991643e-04	1.360200e-10
6.506000002991643e-04	1.360200e-10
6.701312502991643e-04	1.360200e-10
6.896625002991644e-04	1.360200e-10
7.091937502991644e-04	1.360200e-10
7.287250002991644e-04	1.360200e-10
7.482562502991644e-04	1.360200e-10
7.677875002991644e-04	1.360200e-10
7.873187502991644e-04	1.360200e-10
8.068500002991645e-04	1.360200e-10
8.263812502991645e-04	1.360200e-10
8.459125002991645e-04	1.360200e-10
8.654437502991645e-04	1.360200e-10
8.849750002991645e-04	1.360200e-10
9.045062502991645e-04	1.360200e-10
9.240375002991646e-04	1.360200e-10
9.435687502991646e-04	1.360200e-10
9.631000002991646e-04	1.360200e-10
9.826312502991645e-04	1.360200e-10
1.000000000000000e-03	1.360200e-10
1.019531250000000e-03	1.360200e-10
1.039062500000000e-03	1.360200e-10
1.058593750000000e-03	1.360200e-10
1.078125000000000e-03	1.360200e-10
1.097656250000000e-03	1.360200e-10
1.117187500000000e-03	1.360200e-10
1.136718750000000e-03	1.360200e-10
1.156250000000000e-03	1.360200e-10
1.175781250000000e-03	1.360200e-10
1.195312500000000e-03	1.360200e-10
1.214843750000000e-03	1.360200e-10
1.234375000000000e-03	1.360200e-10
1.253906250000000e-03	1.360200e-10
1.273437500000000e-03	1.360200e-10
1.292968750000000e-03	1.360200e-10
1.312500000000000e-03	1.360200e-10
1.332031250000000e-03	1.360200e-10
1.351562500000000e-03	1.360200e-10
1.371093750000000e-03	1.360200e-10
1.390625000000000e-03	1.360200e-10
1.410156250000000e-03	1.360200e-10
1.429687500000000e-03	1.360200e-10
1.449218750000000e-03	1.360200e-10
1.468750000000000e-03	1.360200e-10
1.488281250000000e-03	1.360200e-10
1.494497482533857e-03	1.360200e-10
1.499984697091485e-03	1.360200e-10
1.500000000000000e-03	1.364242e-10
1.500167236565633e-03	8.515106e-01
1.500267962810252e-03	9.378945e-01
1.500385857822770e-03	1.037764e+00
1.500497237325484e-03	1.130891e+00
1.500719996330912e-03	1.313592e+00
1.501165514341769e-03	1.664885e+00
1.502056550363483e-03	2.311951e+00
1.503838622406910e-03	3.392765e+00
1.506378761202366e-03	4.478746e+00
