tiempo_s,teoria_v
-2e-05,0.0
-1.983991995997999e-05,0.0
-1.967983991995998e-05,0.0
-1.951975987993997e-05,0.0
-1.935967983991996e-05,0.0
-1.919959979989995e-05,0.0
-1.9039519759879943e-05,0.0
-1.8879439719859933e-05,0.0
-1.8719359679839923e-05,0.0
-1.8559279639819912e-05,0.0
-1.8399199599799902e-05,0.0
-1.8239119559779892e-05,0.0
-1.807903951975988e-05,0.0
-1.791895947973987e-05,0.0
-1.775887943971986e-05,0.0
-1.759879939969985e-05,0.0
-1.743871935967984e-05,0.0
-1.7278639319659834e-05,0.0
-1.711855927963982e-05,0.0
-1.6958479239619813e-05,0.0
-1.6798399199599803e-05,0.0
-1.6638319159579793e-05,0.0
-1.6478239119559782e-05,0.0
-1.6318159079539772e-05,0.0
-1.615807903951976e-05,0.0
-1.599799899949975e-05,0.0
-1.583791895947974e-05,0.0
-1.567783891945973e-05,0.0
-1.5517758879439724e-05,0.0
-1.535767883941971e-05,0.0
-1.5197598799399702e-05,0.0
-1.5037518759379693e-05,0.0
-1.4877438719359683e-05,0.0
-1.4717358679339673e-05,0.0
-1.4557278639319662e-05,0.0
-1.4397198599299652e-05,0.0
-1.4237118559279642e-05,0.0
-1.4077038519259631e-05,0.0
-1.3916958479239621e-05,0.0
-1.3756878439219611e-05,0.0
-1.3596798399199602e-05,0.0
-1.3436718359179592e-05,0.0
-1.3276638319159582e-05,0.0
-1.3116558279139573e-05,0.0
-1.2956478239119563e-05,0.0
-1.2796398199099553e-05,0.0
-1.2636318159079542e-05,0.0
-1.2476238119059532e-05,0.0
-1.2316158079039522e-05,0.0
-1.2156078039019511e-05,0.0
-1.1995997998999503e-05,0.0
-1.1835917958979493e-05,0.0
-1.1675837918959482e-05,0.0
-1.1515757878939472e-05,0.0
-1.1355677838919462e-05,0.0
-1.1195597798899451e-05,0.0
-1.1035517758879443e-05,0.0
-1.0875437718859433e-05,0.0
-1.0715357678839422e-05,0.0
-1.0555277638819412e-05,0.0
-1.0395197598799402e-05,0.0
-1.0235117558779391e-05,0.0
-1.0075037518759383e-05,0.0
-9.914957478739373e-06,0.0
-9.754877438719362e-06,0.0
-9.594797398699352e-06,0.0
-9.434717358679342e-06,0.0
-9.274637318659333e-06,0.0
-9.114557278639323e-06,0.0
-8.954477238619313e-06,0.0
-8.794397198599302e-06,0.0
-8.634317158579292e-06,0.0
-8.474237118559282e-06,0.0
-8.314157078539273e-06,0.0
-8.154077038519263e-06,0.0
-7.993996998499253e-06,0.0
-7.833916958479242e-06,0.0
-7.673836918459232e-06,0.0
-7.513756878439222e-06,0.0
-7.353676838419213e-06,0.0
-7.193596798399203e-06,0.0
-7.033516758379193e-06,0.0
-6.873436718359182e-06,0.0
-6.713356678339172e-06,0.0
-6.553276638319162e-06,0.0
-6.393196598299153e-06,0.0
-6.233116558279143e-06,0.0
-6.073036518259133e-06,0.0
-5.912956478239122e-06,0.0
-5.752876438219112e-06,0.0
-5.592796398199102e-06,0.0
-5.432716358179093e-06,0.0
-5.272636318159083e-06,0.0
-5.112556278139073e-06,0.0
-4.952476238119062e-06,0.0
-4.792396198099052e-06,0.0
-4.632316158079042e-06,0.0
-4.4722361180590315e-06,0.0
-4.312156078039021e-06,0.0
-4.152076038019014e-06,0.0
-3.991995997999004e-06,0.0
-3.831915957978994e-06,0.0
-3.6718359179589835e-06,0.0
-3.511755877938973e-06,0.0
-3.351675837918963e-06,0.0
-3.1915957978989526e-06,0.0
-3.0315157578789424e-06,0.0
-2.871435717858932e-06,0.0
-2.711355677838922e-06,0.0
-2.5512756378189115e-06,0.0
-2.3911955977989012e-06,0.0
-2.2311155577788943e-06,0.0
-2.071035517758884e-06,0.0
-1.9109554777388738e-06,0.0
-1.7508754377188635e-06,0.0
-1.5907953976988532e-06,0.0
-1.430715357678843e-06,0.0
-1.2706353176588327e-06,0.0
-1.1105552776388224e-06,0.0
-9.504752376188121e-07,0.0
-7.903951975988018e-07,0.0
-6.303151575787915e-07,0.0
-4.7023511755878126e-07,0.0
-3.1015507753877437e-07,0.0
-1.5007503751876409e-07,0.0
1.0005002501246196e-08,4.552100463239839e-07
1.7008504252125648e-07,0.00013138560231640284
3.3016508254126676e-07,0.0004944310413115272
4.90245122561277e-07,0.001088648684280269
6.503251625812873e-07,0.0019130656919592592
8.104052026012976e-07,0.0029666794850427003
9.704852426213079e-07,0.004248458003996536
1.1305652826413182e-06,0.005757339972160436
1.2906453226613284e-06,0.007492235162089411
1.4507253626813353e-06,0.009452024665082659
1.6108054027013456e-06,0.011635561163851671
1.770885442721356e-06,0.01404166920826988
1.930965482741366e-06,0.016669145494158544
2.0910455227613765e-06,0.01951675914505069
2.2511255627813867e-06,0.02258325199688649
2.411205602801397e-06,0.02586733888558168
2.5712856428214073e-06,0.02936770793742083
2.7313656828414176e-06,0.033083020862219925
2.891445722861428e-06,0.03701191324920683
3.051525762881438e-06,0.04115299486556223
3.2116058029014484e-06,0.04550484995757342
3.3716858429214553e-06,0.05006603755434358
3.5317658829414656e-06,0.054835091773999256
3.691845922961476e-06,0.059810522132351496
3.851925962981486e-06,0.06499081385394567
4.0120060030014964e-06,0.07037442818545303
4.172086043021507e-06,0.07595980271134595
4.332166083041517e-06,0.08174535167180275
4.492246123061527e-06,0.08772946628279055
4.6523261630815376e-06,0.09391051505826287
4.812406203101548e-06,0.10028684413442845
4.972486243121558e-06,0.10685677759602674
5.132566283141568e-06,0.1136186178045584
5.292646323161575e-06,0.12057064572841947
5.452726363181586e-06,0.12771112127487516
5.612806403201596e-06,0.1350382836238253
5.772886443221606e-06,0.1425503515633051
5.932966483241616e-06,0.15024552382666068
6.093046523261627e-06,0.1581219794313511
6.253126563281637e-06,0.16617787801931705
6.413206603301647e-06,0.1744113601988584
6.5732866433216575e-06,0.18282054788797408
6.733366683341668e-06,0.19140354465909692
6.893446723361678e-06,0.20015843608517758
7.053526763381685e-06,0.20908329008705917
7.213606803401695e-06,0.21817615728208195
7.3736868434217056e-06,0.22743507133387286
7.533766883441716e-06,0.2368580493032546
7.693846923461726e-06,0.24644309200022452
7.853926963481736e-06,0.2561881843369469
8.014007003501747e-06,0.26609129568170387
8.174087043521757e-06,0.27615038021374727
8.334167083541767e-06,0.28636337727899885
8.494247123561778e-06,0.29672821174654485
8.654327163581788e-06,0.30724279436586666
8.814407203601798e-06,0.3179050221247546
8.974487243621805e-06,0.3287127786078523
9.134567283641815e-06,0.3396639343557726
9.294647323661826e-06,0.35075634722473326
9.454727363681836e-06,0.3619878627466604
9.614807403701846e-06,0.37335631448969897
9.774887443721856e-06,0.384859524419084
9.934967483741867e-06,0.3964953032583127
1.0095047523761877e-05,0.4082614508505684
1.0255127563781887e-05,0.4201557565203382
1.0415207603801898e-05,0.4321759994351746
1.0575287643821904e-05,0.444319948967546
1.0735367683841918e-05,0.4565853650567264
1.0895447723861925e-05,0.4689699985706641
1.1055527763881939e-05,0.48147159166778764
1.1215607803901946e-05,0.49408787815868394
1.137568784392196e-05,0.5068165838676126
1.1535767883941966e-05,0.5196554269937825
1.1695847923961973e-05,0.5326021184723666
1.1855927963981987e-05,0.5456543623351742
1.2016008004001994e-05,0.5588098560709542
1.2176088044022007e-05,0.5720662909852645
1.2336168084042014e-05,0.5854213525598577
1.2496248124062028e-05,0.5988727208115427
1.2656328164082035e-05,0.6124180706504555
1.2816408204102048e-05,0.6260550722377073
1.2976488244122055e-05,0.639781391342345
1.3136568284142069e-05,0.653594689697588
1.3296648324162076e-05,0.667492625356278
1.345672836418209e-05,0.6814728530455093
1.3616808404202096e-05,0.6955330245203746
1.3776888444222103e-05,0.7096707889167946
1.3936968484242117e-05,0.7238837931033686
1.4097048524262124e-05,0.7381696820322083
1.4257128564282137e-05,0.7525260990887083
1.4417208604302144e-05,0.7669506864401945
1.4577288644322158e-05,0.7814410853834244
1.4737368684342165e-05,0.7959949366908693
1.4897448724362179e-05,0.8106098809557559
1.5057528764382185e-05,0.825283558935801
1.52176088044022e-05,0.8400136118956142
1.5377688844422206e-05,0.8547976819477029
1.5537768884442213e-05,0.8696334123920576
1.5697848924462227e-05,0.8845184480542545
1.5857928964482234e-05,0.8994504356220407
1.6018009004502247e-05,0.9144270239803639
1.6178089044522254e-05,0.9294458645447894
1.6338169084542268e-05,0.9445046115932783
1.6498249124562275e-05,0.9596009225962705
1.6658329164582288e-05,0.9747324585450462
1.6818409204602295e-05,0.9898968842783047
1.697848924462231e-05,1.0050918688069452
1.7138569284642316e-05,1.0203150856369825
1.7298649324662323e-05,1.035564213090581
1.7458729364682336e-05,1.050836934625154
1.7618809404702343e-05,1.0661309391504854
1.7778889444722357e-05,1.0814439213438591
1.7938969484742364e-05,1.096773581963124
1.8099049524762377e-05,1.1121176281576854
1.8259129564782384e-05,1.1274737737773708
1.8419209604802398e-05,1.1428397396791392
1.8579289644822405e-05,1.1582132540315888
1.873936968484242e-05,1.1735920526172465
1.8899449724862425e-05,1.188973879132577
1.905952976488244e-05,1.204356485485702
1.9219609804902446e-05,1.2197376320917765
1.9379689844922453e-05,1.2351150881660014
1.9539769884942467e-05,1.2504866320142278
1.9699849924962473e-05,1.2658500513211275
1.9859929964982487e-05,1.2812031434358975
2.0020010005002494e-05,1.2965437156554565
2.0180090045022508e-05,1.3118695855051192
2.0340170085042515e-05,1.3271785810166965
2.0500250125062528e-05,1.3424685410040111
2.0660330165082535e-05,1.3577373153357815
2.082041020510255e-05,1.372982765205857
2.0980490245122556e-05,1.388202763400768
2.1140570285142563e-05,1.4033951945645653
2.1300650325162576e-05,1.4185579554609198
2.1460730365182583e-05,1.4336889552324523
2.1620810405202597e-05,1.4487861156572768
2.1780890445222604e-05,1.4638473714027103
2.1940970485242617e-05,1.4788706702761507
