x-axis,1,2
second,Volt,Volt
-120.0000E-06,-2.6532663032E+00,-2.7336683124E+00
-119.9000E-06,-2.5613782927E+00,-2.7681263164E+00
-119.8000E-06,-2.4924622849E+00,-2.7221823111E+00
-119.7000E-06,-2.5384062901E+00,-2.7106963098E+00
-119.6000E-06,-2.5384062901E+00,-2.7106963098E+00
-119.5000E-06,-2.5728642941E+00,-2.7106963098E+00
-119.4000E-06,-2.5843502954E+00,-2.7336683124E+00
-119.3000E-06,-2.7336683124E+00,-2.7336683124E+00
-119.2000E-06,-2.5843502954E+00,-2.8485283256E+00
-119.1000E-06,-2.5728642941E+00,-2.8025843203E+00
-119.0000E-06,-2.6073222980E+00,-2.7336683124E+00
-118.9000E-06,-2.5728642941E+00,-2.6417803019E+00
-118.8000E-06,-2.6417803019E+00,-2.6647523046E+00
-118.7000E-06,-2.6073222980E+00,-2.8600143269E+00
-118.6000E-06,-2.4924622849E+00,-2.7336683124E+00
-118.5000E-06,-2.4465182796E+00,-2.7336683124E+00
-118.4000E-06,-2.6417803019E+00,-2.7336683124E+00
-118.3000E-06,-2.5154342875E+00,-2.7910983190E+00
-118.2000E-06,-2.5154342875E+00,-2.6992103085E+00
-118.1000E-06,-2.5613782927E+00,-2.8025843203E+00
-118.0000E-06,-2.5728642941E+00,-2.7336683124E+00
-117.9000E-06,-2.4924622849E+00,-2.7336683124E+00
-117.8000E-06,-2.5613782927E+00,-2.6992103085E+00
-117.7000E-06,-2.5613782927E+00,-2.8715003282E+00
-117.6000E-06,-2.4809762835E+00,-2.8485283256E+00
-117.5000E-06,-2.5154342875E+00,-2.7106963098E+00
-117.4000E-06,-2.5039482862E+00,-2.7451543137E+00
-117.3000E-06,-2.5269202888E+00,-2.6992103085E+00
-117.2000E-06,-2.4924622849E+00,-2.6532663032E+00
-117.1000E-06,-2.5498922914E+00,-2.6417803019E+00
-117.0000E-06,-2.5039482862E+00,-2.7336683124E+00
-116.9000E-06,-2.4924622849E+00,-2.6762383059E+00
-116.8000E-06,-2.6302943006E+00,-2.7336683124E+00
-116.7000E-06,-2.5039482862E+00,-2.5843502954E+00
-116.6000E-06,-2.3776022717E+00,-2.6532663032E+00
-116.5000E-06,-2.3316582665E+00,-2.7336683124E+00
-116.4000E-06,-2.4809762835E+00,-2.5728642941E+00
-116.3000E-06,-2.4924622849E+00,-2.7910983190E+00
-116.2000E-06,-2.3890882731E+00,-2.6877243072E+00
-116.1000E-06,-2.3546302691E+00,-2.6417803019E+00
-116.0000E-06,-2.4694902822E+00,-2.6302943006E+00
