x-axis,1
second,Volt
-191.0000E-06,
-190.7500E-06,
-190.5000E-06,+1.5276381746E+00
-190.2500E-06,+1.6180904349E+00
-190.0000E-06,+1.5879396815E+00
-189.7500E-06,+1.4572864166E+00
-189.5000E-06,+1.6381909372E+00
-189.2500E-06,+1.5376884257E+00
-189.0000E-06,+1.5879396815E+00
-188.7500E-06,+1.5778894303E+00
-188.5000E-06,+1.6884421930E+00
-188.2500E-06,+1.5979899326E+00
-188.0000E-06,+1.6783919418E+00
-187.7500E-06,+1.6381909372E+00
-187.5000E-06,+1.5879396815E+00
-187.2500E-06,+1.5879396815E+00
-187.0000E-06,+1.5376884257E+00
-186.7500E-06,+1.6080401838E+00
-186.5000E-06,+1.5577889280E+00
-186.2500E-06,+1.6783919418E+00
-186.0000E-06,+1.6683416907E+00
-185.7500E-06,+1.6683416907E+00
-185.5000E-06,+1.4974874211E+00
-185.2500E-06,+1.6783919418E+00
-185.0000E-06,+1.6080401838E+00
-184.7500E-06,+1.6482411884E+00
-184.5000E-06,+1.6080401838E+00
-184.2500E-06,+1.7286431976E+00
-184.0000E-06,+1.6080401838E+00
-183.7500E-06,+1.5778894303E+00
-183.5000E-06,+1.5477386769E+00
-183.2500E-06,+1.6783919418E+00
-183.0000E-06,+1.4673366677E+00
-182.7500E-06,+1.5879396815E+00
-182.5000E-06,+1.6683416907E+00
-182.2500E-06,+1.5979899326E+00
-182.0000E-06,+1.6080401838E+00
-181.7500E-06,+1.5577889280E+00
-181.5000E-06,+1.6281406861E+00
-181.2500E-06,+1.6080401838E+00
-181.0000E-06,+1.5979899326E+00
-180.7500E-06,+1.5577889280E+00
-180.5000E-06,+1.6884421930E+00
-180.2500E-06,+1.5276381746E+00
-180.0000E-06,+1.5979899326E+00
-179.7500E-06,+1.5477386769E+00
-179.5000E-06,+1.5778894303E+00
-179.2500E-06,+1.6984924441E+00
-179.0000E-06,+1.5376884257E+00
-178.7500E-06,+1.6080401838E+00
-178.5000E-06,+1.5276381746E+00
-178.2500E-06,+1.7487436999E+00
-178.0000E-06,+1.5376884257E+00
-177.7500E-06,+1.6080401838E+00
-177.5000E-06,+1.6080401838E+00
-177.2500E-06,+1.6683416907E+00
-177.0000E-06,+1.6683416907E+00
-176.7500E-06,+1.6683416907E+00
-176.5000E-06,+1.5577889280E+00
-176.2500E-06,+1.5175879234E+00
-176.0000E-06,+1.6783919418E+00
-175.7500E-06,+1.5276381746E+00
-175.5000E-06,+1.5577889280E+00
-175.2500E-06,+1.6080401838E+00
-175.0000E-06,+1.4673366677E+00
-174.7500E-06,+1.5778894303E+00
-174.5000E-06,+1.5276381746E+00
-174.2500E-06,+1.5979899326E+00
-174.0000E-06,+1.6080401838E+00
-173.7500E-06,+1.5577889280E+00
-173.5000E-06,+1.5778894303E+00
-173.2500E-06,+1.6683416907E+00
-173.0000E-06,+1.6683416907E+00
-172.7500E-06,+1.5778894303E+00
-172.5000E-06,+1.4773869188E+00
-172.2500E-06,+1.6080401838E+00
-172.0000E-06,+1.4572864166E+00
-171.7500E-06,+1.6080401838E+00
-171.5000E-06,+1.5276381746E+00
-171.2500E-06,+1.6080401838E+00
-171.0000E-06,+1.6783919418E+00
-170.7500E-06,+1.6582914395E+00
-170.5000E-06,+1.5778894303E+00
-170.2500E-06,+1.7487436999E+00
-170.0000E-06,+1.6783919418E+00
-169.7500E-06,+1.5778894303E+00
-169.5000E-06,+1.5778894303E+00
-169.2500E-06,+1.5376884257E+00
-169.0000E-06,+1.6080401838E+00
-168.7500E-06,+1.5879396815E+00
-168.5000E-06,+1.5778894303E+00
-168.2500E-06,+1.5376884257E+00
-168.0000E-06,+1.6080401838E+00
-167.7500E-06,+1.6080401838E+00
-167.5000E-06,+1.5477386769E+00
-167.2500E-06,+1.4673366677E+00
-167.0000E-06,+1.6884421930E+00
-166.7500E-06,+1.5778894303E+00
-166.5000E-06,+1.5577889280E+00
-166.2500E-06,+1.5376884257E+00
-166.0000E-06,+1.5376884257E+00
-165.7500E-06,+1.5778894303E+00
-165.5000E-06,+1.6281406861E+00
-165.2500E-06,+1.4472361654E+00
-165.0000E-06,+1.5376884257E+00
-164.7500E-06,+1.5577889280E+00
-164.5000E-06,+1.5778894303E+00
-164.2500E-06,+1.5979899326E+00
-164.0000E-06,+1.6080401838E+00
-163.7500E-06,+1.6683416907E+00
-163.5000E-06,+1.5276381746E+00
-163.2500E-06,+1.7487436999E+00
-163.0000E-06,+1.6080401838E+00
-162.7500E-06,+1.6381909372E+00
-162.5000E-06,+1.6582914395E+00
-162.2500E-06,+1.5979899326E+00
-162.0000E-06,+1.6080401838E+00
-161.7500E-06,+1.6080401838E+00
-161.5000E-06,+1.5879396815E+00
-161.2500E-06,+1.6080401838E+00
-161.0000E-06,+1.6281406861E+00
-160.7500E-06,+1.6281406861E+00
-160.5000E-06,+1.5577889280E+00
-160.2500E-06,+1.5376884257E+00
-160.0000E-06,+1.6884421930E+00
-159.7500E-06,+1.4773869189E+00
-159.5000E-06,+1.5577889280E+00
-159.2500E-06,+1.6884421930E+00
-159.0000E-06,+1.6884421930E+00
-158.7500E-06,+1.6381909372E+00
-158.5000E-06,+1.6080401838E+00
-158.2500E-06,+1.5376884257E+00
-158.0000E-06,+1.5477386769E+00
-157.7500E-06,+1.6080401838E+00
-157.5000E-06,+1.5577889280E+00
-157.2500E-06,+1.6180904349E+00
-157.0000E-06,+1.4572864166E+00
-156.7500E-06,+1.6884421930E+00
-156.5000E-06,+1.4773869188E+00
-156.2500E-06,+1.6080401838E+00
-156.0000E-06,+1.5376884258E+00
-155.7500E-06,+1.5075376723E+00
-155.5000E-06,+1.4974874212E+00
-155.2500E-06,+1.4572864165E+00
-155.0000E-06,+1.6884421930E+00
-154.7500E-06,+1.4974874211E+00
-154.5000E-06,+1.5276381746E+00
-154.2500E-06,+1.5477386769E+00
-154.0000E-06,+1.5376884258E+00
-153.7500E-06,+1.5577889280E+00
-153.5000E-06,+1.5577889280E+00
-153.2500E-06,+1.6783919418E+00
-153.0000E-06,+1.5276381746E+00
-152.7500E-06,+1.5778894303E+00
-152.5000E-06,+1.6381909372E+00
-152.2500E-06,+1.5376884257E+00
-152.0000E-06,+1.6683416907E+00
-151.7500E-06,+1.5778894303E+00
-151.5000E-06,+1.5577889280E+00
-151.2500E-06,+1.5175879235E+00
-151.0000E-06,+1.5376884258E+00
-150.7500E-06,+1.6080401838E+00
-150.5000E-06,+1.5778894303E+00
